,IMO_Number,DWT
1450,9237644,758
1451,9237747,26616
1452,9237888,46683
1453,9238040,75074
1454,9238064,17254
1455,9238076,17264
1456,9238117,28425
1457,9238337,5579
1458,9238351,8930
1459,9238363,8930
1460,9238442,9999
1461,9238466,52383
1462,9238674,28740
1463,9238686,16794
1464,9238698,16824
1465,9238703,7748
1466,9238741,67644
1467,9238753,50800
1468,9238820,30018
1469,9239288,10500
1470,9239484,165209
1471,9239800,26737
1472,9239812,26735
1473,9239903,35414
1474,9239977,46764
1475,9240134,9352
1476,9240160,28388
1477,9240201,8035
1478,9240548,10526
1479,9240873,34622
1480,9240964,6580
1481,9240976,6850
1482,9241061,19189
1483,9241322,75898
1484,9241346,50209
1485,9241358,50296
1486,9241487,33853
1487,9241695,37297
1488,9241774,1896
1489,9241786,1896
1490,9242089,43002
1491,9242285,17275
1492,9242297,17290
1493,9242302,17183
1494,9242326,46839
1495,9242338,46818
1496,9242388,9865
1497,9242390,9865
